N-NUMBER,SERIAL NUMBER,MFR MDL CODE,ENG MFR MDL,YEAR MFR,REGISTRANT NAME,STREET,CITY,STATE,ZIP,REGION,COUNTY,COUNTRY,LAST ACTION DATE,CERT ISSUE DATE,CERTIFICATION,TYPE AIRCRAFT,TYPE ENGINE,STATUS CODE,MODE S CODE,FRACT OWNER,AIR WORTH DATE,EXPIRATION DATE
10084,1617                          ,1200586,67000,1985,UNITED AIR LINES INC                              ,8437 MERIDIAN PKWY               ,CHICAGO           ,IL,45838     ,3,137,US,20081012,19870723,1T        ,5,5 ,V ,50017300, ,19910306,20270719
100FC,E6644-55                      ,2190587,52040,1999,AMERIFLIGHT LLC                                   ,5668 PROSPECT AVE                ,BURBANK           ,CA,76550     ,7,176,US,20090306,20000614,1N        ,5,5 ,V ,50005513, ,20160125,20300719
10152,A3195-97                      ,1310193,41538,2007,ATP FLIGHT SCHOOL LLC                             ,4734 MERIDIAN PKWY               ,JACKSONVILLE      ,FL,49132     ,S,024,US,20120603,20070520,1T        ,4,2 ,V ,50061132, ,        ,20260209
1015H,5323                          ,1860243,30062,1993,BAKER WILLIAM F                                   ,7151 CESSNA BLVD                 ,PROVIDENCE        ,RI,74451     ,1,141,US,20040414,19950119,1N        ,4,1 ,V ,50061446, ,20130104,20280129
101SR,45879                         ,1530618,52001,1988,"DELTA AIR LINES, INC.                             ",2622 TAXIWAY DR                  ,ATLANTA           ,GA,48254     ,S,102,US,20121015,19910212,1T        ,5,5 ,V ,50053314, ,20080114,20310404
10211,17224520                      ,1750201,17003,2011,JONES GEORGE L                                    ,6892 SKYWAY CT                   ,ALBANY            ,NY,74251     ,1,100,US,20210616,20120410,1U        ,4,1 ,V ,50052443, ,20240411,20280613
10318,28-2010920                    ,2630769,30010,    ,CLARK STEVEN A                                    ,3140 MAPLE AVE                   ,OMAHA             ,NE,41635     ,C,192,US,20120124,20080803,1N        ,4,1 ,V ,50076645, ,20121109,20290226
1031M,28-2000805                    ,2630345,30062,1978,ATP FLIGHT SCHOOL LLC                             ,4734 MERIDIAN PKWY               ,JACKSONVILLE      ,FL,49132     ,S,097,US,19980127,19790710,1A        ,4,1 ,V ,50036304, ,20010601,20300908
103SN,G6447-54                      ,2190212,52001,1999,"DELTA AIR LINES, INC.                             ",2622 TAXIWAY DR                  ,ATLANTA           ,GA,48254     ,S,197,US,20040707,20001126,1T        ,5,5 ,V ,50040342, ,20121229,20270918
1047U,17228551                      ,1751213,52040,1973,BANK OF UTAH TRUSTEE                              ,8122 SKYWAY CT                   ,SALT LAKE CITY    ,UT,29476     ,5,100,US,19950415,19760502,1N        ,5,5 ,V ,50033460, ,20070112,20300212
104LH,17233430                      ,1750529,17027,1989,MERIDIAN AIR CHARTER LLC                          ,2168 RIDGE RD                    ,TETERBORO         ,NJ,87356     ,1,099,US,20191009,19891201,1A        ,4,1 ,V ,50074377, ,20090526,20271005
104TH,D2025-77                      ,2080125,30010,1972,JONES GEORGE L                                    ,6892 SKYWAY CT                   ,ALBANY            ,NY,74251     ,1,161,US,19770614,19730802,1N        ,4,1 ,V ,50010233, ,20160223,20300122
10533,B4587-78                      ,1310241,30062,2017,ATP FLIGHT SCHOOL LLC                             ,4734 MERIDIAN PKWY               ,JACKSONVILLE      ,FL,49132     ,S,172,US,20240508,20200117,1A        ,5,1 ,V ,50045413, ,20210823,20301002
