url,ID,Federation,Form.Fed,Transfer Date
https://ratings.fide.com/fedchange.phtml?year=2000,2019221,USA,PHI,12/15/00
https://ratings.fide.com/fedchange.phtml?year=2000,14401754,BIH,CRO,1/31/00
https://ratings.fide.com/fedchange.phtml?year=2000,14401762,BIH,YUG,1/31/00
https://ratings.fide.com/fedchange.phtml?year=2000,2019221,USA,PHI,12/15/00
https://ratings.fide.com/fedchange.phtml?year=2000,14401754,BIH,CRO,1/31/00
https://ratings.fide.com/fedchange.phtml?year=2000,14401762,BIH,YUG,1/31/00
https://ratings.fide.com/fedchange.phtml?year=2001,6700284,ESA,HON,11/15/01
https://ratings.fide.com/fedchange.phtml?year=2001,1613782,AUT,ISR,7/9/01
https://ratings.fide.com/fedchange.phtml?year=2001,2600536,AUS,CAN,11/9/01
https://ratings.fide.com/fedchange.phtml?year=2001,2603977,CAN,YUG,5/25/01
https://ratings.fide.com/fedchange.phtml?year=2001,2019523,USA,AZE,3/30/01
https://ratings.fide.com/fedchange.phtml?year=2001,2603985,CAN,ENG,5/25/01
https://ratings.fide.com/fedchange.phtml?year=2001,4682084,ITA,GER,9/12/01
https://ratings.fide.com/fedchange.phtml?year=2001,2209381,PAR,ESP,12/10/01
https://ratings.fide.com/fedchange.phtml?year=2001,13601105,USA,GEO,2/13/01
https://ratings.fide.com/fedchange.phtml?year=2001,4613424,SUI,GER,12/1/01
https://ratings.fide.com/fedchange.phtml?year=2001,2604019,CAN,YUG,6/9/01
https://ratings.fide.com/fedchange.phtml?year=2001,933511,YUG,BEL,2/7/01
https://ratings.fide.com/fedchange.phtml?year=2001,3405400,CHI,CRO,6/13/01
https://ratings.fide.com/fedchange.phtml?year=2001,4154142,UKR,RUS,1/23/01
https://ratings.fide.com/fedchange.phtml?year=2001,14900440,SVK,LBN,7/5/01
https://ratings.fide.com/fedchange.phtml?year=2001,4168267,RUS,UZB,2/3/01
https://ratings.fide.com/fedchange.phtml?year=2001,4148932,UKR,RUS,10/25/01
https://ratings.fide.com/fedchange.phtml?year=2001,2019574,USA,RUS,4/2/01
https://ratings.fide.com/fedchange.phtml?year=2001,1308181,SUI,AUT,5/20/01
https://ratings.fide.com/fedchange.phtml?year=2001,6700284,ESA,HON,11/15/01
https://ratings.fide.com/fedchange.phtml?year=2001,1613782,AUT,ISR,7/9/01
https://ratings.fide.com/fedchange.phtml?year=2001,2600536,AUS,CAN,11/9/01
https://ratings.fide.com/fedchange.phtml?year=2001,2603977,CAN,YUG,5/25/01
https://ratings.fide.com/fedchange.phtml?year=2001,2019523,USA,AZE,3/30/01
https://ratings.fide.com/fedchange.phtml?year=2001,2603985,CAN,ENG,5/25/01
https://ratings.fide.com/fedchange.phtml?year=2001,4682084,ITA,GER,9/12/01
https://ratings.fide.com/fedchange.phtml?year=2001,2209381,PAR,ESP,12/10/01
https://ratings.fide.com/fedchange.phtml?year=2001,13601105,USA,GEO,2/13/01
https://ratings.fide.com/fedchange.phtml?year=2001,4613424,SUI,GER,12/1/01
https://ratings.fide.com/fedchange.phtml?year=2001,2604019,CAN,YUG,6/9/01
https://ratings.fide.com/fedchange.phtml?year=2001,933511,YUG,BEL,2/7/01
https://ratings.fide.com/fedchange.phtml?year=2001,3405400,CHI,CRO,6/13/01
https://ratings.fide.com/fedchange.phtml?year=2001,4154142,UKR,RUS,1/23/01
https://ratings.fide.com/fedchange.phtml?year=2001,14900440,SVK,LBN,7/5/01
https://ratings.fide.com/fedchange.phtml?year=2001,4168267,RUS,UZB,2/3/01
https://ratings.fide.com/fedchange.phtml?year=2001,4148932,UKR,RUS,10/25/01
https://ratings.fide.com/fedchange.phtml?year=2001,2019574,USA,RUS,4/2/01
https://ratings.fide.com/fedchange.phtml?year=2001,1308181,SUI,AUT,5/20/01
https://ratings.fide.com/fedchange.phtml?year=2002,13301918,USA,ARM,3/5/02
https://ratings.fide.com/fedchange.phtml?year=2002,13300580,USA,ARM,3/7/02
https://ratings.fide.com/fedchange.phtml?year=2002,14102463,BUL,UKR,3/4/02
https://ratings.fide.com/fedchange.phtml?year=2002,13300105,USA,ARM,3/5/02
https://ratings.fide.com/fedchange.phtml?year=2002,4121138,USA,RUS,3/5/02
https://ratings.fide.com/fedchange.phtml?year=2002,5400082,FRA,MNC,3/4/02
https://ratings.fide.com/fedchange.phtml?year=2002,621790,ESP,FRA,8/7/02
https://ratings.fide.com/fedchange.phtml?year=2002,4149610,GER,RUS,6/15/02
https://ratings.fide.com/fedchange.phtml?year=2002,919101,YUG,CAN,3/4/02
https://ratings.fide.com/fedchange.phtml?year=2002,4110706,GER,RUS,11/10/02
https://ratings.fide.com/fedchange.phtml?year=2002,1206508,ESP,ROM,5/17/02
https://ratings.fide.com/fedchange.phtml?year=2002,406457,JCI,ENG,7/24/02
https://ratings.fide.com/fedchange.phtml?year=2002,1206303,ROM,CAN,3/4/02
https://ratings.fide.com/fedchange.phtml?year=2002,2904276,MKD,BUL,4/23/02
https://ratings.fide.com/fedchange.phtml?year=2002,2212552,HON,ESP,8/26/02
https://ratings.fide.com/fedchange.phtml?year=2002,933953,YUG,CAN,3/4/02
https://ratings.fide.com/fedchange.phtml?year=2002,4143973,UKR,RUS,8/10/02
https://ratings.fide.com/fedchange.phtml?year=2002,14905361,CAN,SVK,5/25/02
https://ratings.fide.com/fedchange.phtml?year=2002,2501031,ENG,IRL,1/18/02
https://ratings.fide.com/fedchange.phtml?year=2002,310204,SVK,YUG,6/15/02
https://ratings.fide.com/fedchange.phtml?year=2002,4152417,UKR,RUS,6/10/02
https://ratings.fide.com/fedchange.phtml?year=2002,4105745,USA,RUS,6/7/02
https://ratings.fide.com/fedchange.phtml?year=2002,14400375,GER,BIH,6/7/02
https://ratings.fide.com/fedchange.phtml?year=2002,8601640,CAN,USA,5/20/02
https://ratings.fide.com/fedchange.phtml?year=2002,5200156,USA,PHI,3/5/02
https://ratings.fide.com/fedchange.phtml?year=2002,14103826,USA,UKR,5/15/02
https://ratings.fide.com/fedchange.phtml?year=2002,13900145,FRA,MDA,1/5/02
https://ratings.fide.com/fedchange.phtml?year=2002,11800097,AUT,SMR,3/5/02
https://ratings.fide.com/fedchange.phtml?year=2002,2803089,CAN,ISR,9/15/02
https://ratings.fide.com/fedchange.phtml?year=2002,1100025,USA,POL,8/28/02
https://ratings.fide.com/fedchange.phtml?year=2002,4109902,ISR,RUS,2/21/02
https://ratings.fide.com/fedchange.phtml?year=2002,13301918,USA,ARM,3/5/02
https://ratings.fide.com/fedchange.phtml?year=2002,13300580,USA,ARM,3/7/02
https://ratings.fide.com/fedchange.phtml?year=2002,14102463,BUL,UKR,3/4/02
https://ratings.fide.com/fedchange.phtml?year=2002,13300105,USA,ARM,3/5/02
https://ratings.fide.com/fedchange.phtml?year=2002,4121138,USA,RUS,3/5/02
https://ratings.fide.com/fedchange.phtml?year=2002,5400082,FRA,MNC,3/4/02
https://ratings.fide.com/fedchange.phtml?year=2002,621790,ESP,FRA,8/7/02
https://ratings.fide.com/fedchange.phtml?year=2002,4149610,GER,RUS,6/15/02
https://ratings.fide.com/fedchange.phtml?year=2002,919101,YUG,CAN,3/4/02
https://ratings.fide.com/fedchange.phtml?year=2002,4110706,GER,RUS,11/10/02
https://ratings.fide.com/fedchange.phtml?year=2002,1206508,ESP,ROM,5/17/02
https://ratings.fide.com/fedchange.phtml?year=2002,406457,JCI,ENG,7/24/02
https://ratings.fide.com/fedchange.phtml?year=2002,1206303,ROM,CAN,3/4/02
https://ratings.fide.com/fedchange.phtml?year=2002,2904276,MKD,BUL,4/23/02
https://ratings.fide.com/fedchange.phtml?year=2002,2212552,HON,ESP,8/26/02
https://ratings.fide.com/fedchange.phtml?year=2002,933953,YUG,CAN,3/4/02
https://ratings.fide.com/fedchange.phtml?year=2002,4143973,UKR,RUS,8/10/02
https://ratings.fide.com/fedchange.phtml?year=2002,14905361,CAN,SVK,5/25/02
https://ratings.fide.com/fedchange.phtml?year=2002,2501031,ENG,IRL,1/18/02
https://ratings.fide.com/fedchange.phtml?year=2002,310204,SVK,YUG,6/15/02
https://ratings.fide.com/fedchange.phtml?year=2002,4152417,UKR,RUS,6/10/02
https://ratings.fide.com/fedchange.phtml?year=2002,4105745,USA,RUS,6/7/02
https://ratings.fide.com/fedchange.phtml?year=2002,14400375,GER,BIH,6/7/02
https://ratings.fide.com/fedchange.phtml?year=2002,8601640,CAN,USA,5/20/02
https://ratings.fide.com/fedchange.phtml?year=2002,5200156,USA,PHI,3/5/02
https://ratings.fide.com/fedchange.phtml?year=2002,14103826,USA,UKR,5/15/02
https://ratings.fide.com/fedchange.phtml?year=2002,13900145,FRA,MDA,1/5/02
https://ratings.fide.com/fedchange.phtml?year=2002,11800097,AUT,SMR,3/5/02
https://ratings.fide.com/fedchange.phtml?year=2002,2803089,CAN,ISR,9/15/02
https://ratings.fide.com/fedchange.phtml?year=2002,1100025,USA,POL,8/28/02
https://ratings.fide.com/fedchange.phtml?year=2002,4109902,ISR,RUS,2/21/02
https://ratings.fide.com/fedchange.phtml?year=2003,8100977,MAR,JOR,4/3/03
https://ratings.fide.com/fedchange.phtml?year=2003,14100878,FRA,UKR,3/15/03
https://ratings.fide.com/fedchange.phtml?year=2003,3501728,USA,CUB,5/7/03
https://ratings.fide.com/fedchange.phtml?year=2003,12802212,USA,LTU,9/6/03
https://ratings.fide.com/fedchange.phtml?year=2003,401374,JAP,ENG,6/9/03
https://ratings.fide.com/fedchange.phtml?year=2003,1902334,ECU,POR,2/3/03
https://ratings.fide.com/fedchange.phtml?year=2003,3501868,ESP,CUB,8/25/03
https://ratings.fide.com/fedchange.phtml?year=2003,2222345,AND,ESP,7/23/03
https://ratings.fide.com/fedchange.phtml?year=2003,2900262,AUT,BUL,9/29/03
https://ratings.fide.com/fedchange.phtml?year=2003,2900106,PLE,BUL,10/3/03
https://ratings.fide.com/fedchange.phtml?year=2003,14501570,YUG,CRO,5/28/03
https://ratings.fide.com/fedchange.phtml?year=2003,14109042,GER,RUS,3/15/03
https://ratings.fide.com/fedchange.phtml?year=2003,1404679,ISL,DEN,12/6/03
https://ratings.fide.com/fedchange.phtml?year=2003,4629400,AUT,GER,10/16/03
https://ratings.fide.com/fedchange.phtml?year=2003,13300512,USA,ARM,2/19/03
https://ratings.fide.com/fedchange.phtml?year=2003,4142217,CZE,RUS,9/3/03
https://ratings.fide.com/fedchange.phtml?year=2003,4183150,ITA,RUS,3/18/03
https://ratings.fide.com/fedchange.phtml?year=2003,1212290,CAN,ROM,2/3/03
https://ratings.fide.com/fedchange.phtml?year=2003,11600098,BAN,LAT,2/11/03
https://ratings.fide.com/fedchange.phtml?year=2003,910775,AUS,YUG,4/29/03
https://ratings.fide.com/fedchange.phtml?year=2003,4300475,AUS,NZL,3/20/03
