pollster,pollster_rating_id,aapor_roper,inactive,numeric_grade,rank,POLLSCORE,wtd_avg_transparency,number_polls_pollster_total,percent_partisan_work,error_ppm,bias_ppm,number_polls_pollster_time_weighted
The New York Times/Siena College,448,TRUE,FALSE,3,1,-1.5,8.7,120,0,-1,-2,111.6
ABC News/The Washington Post,3,TRUE,FALSE,3,2,-1.2,9.2,97,0,-1,-1.3,25.3
Marquette University Law School,195,TRUE,FALSE,3,3,-1.1,10,21,0,-1,-1.1,12.5
YouGov,391,FALSE,FALSE,3,4,-1.1,9,596,0,-0.4,-1.7,272.6
Monmouth University Polling Institute,215,TRUE,FALSE,2.9,5,-0.9,9.9,146,0,-0.7,-1,84.2
Marist College,183,TRUE,FALSE,2.9,6,-0.9,9.1,209,0,-0.7,-1.1,93.4
Suffolk University,323,TRUE,FALSE,2.9,7,-1,8.6,122,0,-0.6,-1.5,57
Data Orbital,73,TRUE,FALSE,2.9,8,-0.9,9,19,0,-0.7,-1.1,16.1
University of Massachusetts Lowell Center for Public Opinion,355,TRUE,FALSE,2.9,9,-1,8.7,31,0,-0.8,-1.1,25.1
Emerson College,88,TRUE,FALSE,2.9,10,-1.1,8.2,266,0,-0.9,-1.3,242.6
Muhlenberg College Institute of Public Opinion,219,TRUE,FALSE,2.8,11,-1,8.2,39,0,-0.8,-1.2,16
Selzer & Co.,304,TRUE,FALSE,2.8,12,-1.2,7.3,62,0,-1.1,-1.2,23.3
University of North Florida Public Opinion Research Lab,360,TRUE,FALSE,2.8,13,-0.6,9.8,15,0,-0.5,-0.7,12.2
CNN,844,TRUE,FALSE,2.8,14,-0.6,8.9,169,0,-0.2,-1.1,74.4
SurveyUSA,325,FALSE,FALSE,2.8,15,-1.3,5.8,1101,0,-0.7,-1.8,231.4
Beacon Research/Shaw & Co. Research,103,TRUE,FALSE,2.8,16,-1.1,6.7,73,0,-0.7,-1.4,53.4
Quinnipiac University,267,TRUE,FALSE,2.8,17,-0.5,9.6,288,0,0,-1,108.4
MassINC Polling Group,198,TRUE,FALSE,2.8,18,-0.8,7.8,28,0,-1,-0.6,16.5
Ipsos,154,TRUE,FALSE,2.8,19,-0.9,7.7,267,0,-0.3,-1.4,162.4
Christopher Newport University Wason Center for Civic Leadership,50,TRUE,FALSE,2.8,20,-0.6,8.4,19,0,-0.6,-0.6,13.2
Siena College,305,TRUE,FALSE,2.7,21,-0.8,7.4,81,0,-0.5,-1,39.4
AtlasIntel,546,TRUE,FALSE,2.7,22,-0.8,6.5,24,0,-1.2,-0.4,26.3
Echelon Insights,407,FALSE,FALSE,2.7,23,-0.8,8.7,10,0,-0.8,-0.7,13.2
The Washington Post/George Mason University Schar School of Policy and Government,754,TRUE,FALSE,2.7,24,-0.8,9.3,8,0,-0.8,-0.8,6.8
East Carolina University Center for Survey Research,523,TRUE,FALSE,2.6,25,-0.5,7.7,19,0,-0.2,-0.8,22.1
Data for Progress,522,FALSE,FALSE,2.6,26,-1.2,4.1,122,0.1,-0.4,-1.9,149.9
Hart Research Associates/Public Opinion Strategies,221,TRUE,FALSE,2.6,27,-0.7,5.8,53,0,-0.3,-1.1,21.2
